"DateTime","Players","Average Players"
"2022-06-08 00:00:00",25858,
"2022-06-09 00:00:00",26697,
"2022-06-10 00:00:00",27247,
"2022-06-11 00:00:00",32281,
"2022-06-12 00:00:00",38022,
"2022-06-13 00:00:00",33781,
"2022-06-14 00:00:00",34332,
"2022-06-15 00:00:00",32789,
"2022-06-16 00:00:00",32282,
"2022-06-17 00:00:00",33212,
"2022-06-18 00:00:00",37483,
"2022-06-19 00:00:00",37055,
"2022-06-20 00:00:00",31743,
"2022-06-21 00:00:00",33667,
"2022-06-22 00:00:00",35168,
"2022-06-23 00:00:00",40854,
"2022-06-24 00:00:00",37617,
"2022-06-25 00:00:00",40405,
"2022-06-26 00:00:00",40264,
"2022-06-27 00:00:00",33100,
"2022-06-28 00:00:00",31028,
"2022-06-29 00:00:00",27832,
"2022-06-30 00:00:00",23474,
"2022-07-01 00:00:00",23845,
"2022-07-02 00:00:00",25306,
"2022-07-03 00:00:00",25402,
"2022-07-04 00:00:00",22370,
"2022-07-05 00:00:00",19614,
"2022-07-06 00:00:00",18250,
"2022-07-07 00:00:00",17584,
"2022-07-08 00:00:00",17771,
"2022-07-09 00:00:00",19309,
"2022-07-10 00:00:00",18982,
"2022-07-11 00:00:00",15951,
"2022-07-12 00:00:00",15239,
"2022-07-13 00:00:00",14477,
"2022-07-14 00:00:00",14283,
"2022-07-15 00:00:00",13168,
"2022-07-16 00:00:00",14699,
"2022-07-17 00:00:00",15432,
"2022-07-18 00:00:00",12410,
"2022-07-19 00:00:00",11927,
"2022-07-20 00:00:00",11004,
"2022-07-21 00:00:00",11282,
"2022-07-22 00:00:00",11587,
"2022-07-23 00:00:00",12257,
"2022-07-24 00:00:00",12286,
"2022-07-25 00:00:00",10738,
"2022-07-26 00:00:00",10539,
"2022-07-27 00:00:00",9622,
"2022-07-28 00:00:00",9244,
"2022-07-29 00:00:00",9945,
"2022-07-30 00:00:00",10393,
"2022-07-31 00:00:00",10508,
"2022-08-01 00:00:00",9027,
"2022-08-02 00:00:00",8838,
"2022-08-03 00:00:00",8452,
"2022-08-04 00:00:00",8261,
"2022-08-05 00:00:00",8318,
"2022-08-06 00:00:00",8559,
"2022-08-07 00:00:00",8988,
"2022-08-08 00:00:00",7799,
"2022-08-09 00:00:00",7733,
"2022-08-10 00:00:00",7660,
"2022-08-11 00:00:00",6854,
"2022-08-12 00:00:00",7103,
"2022-08-13 00:00:00",7133,
"2022-08-14 00:00:00",7196,
"2022-08-15 00:00:00",6395,
"2022-08-16 00:00:00",5990,
"2022-08-17 00:00:00",5764,
"2022-08-18 00:00:00",5750,
"2022-08-19 00:00:00",5747,
"2022-08-20 00:00:00",5774,
"2022-08-21 00:00:00",6138,
"2022-08-22 00:00:00",5501,
"2022-08-23 00:00:00",5422,
